Timestamp,Kreativitet,Näringslära,Meditation,Lärande,Empati,Mod,Glädje,Skrivkonst,Läsning,Målning,Matlagning,Yoga,Resa,Fotografi,Volontärarbete,Simning,Cykling,Fred,Konst,Musik,Natur,Humor,Utbildning,Skönhet,Vänskap,Kärlek,Hopp,Visdom,Teaterpjäs,Hälsa,Reflexion,Innovation,Andlighet,Mångfald,Kultur,Ledare,Upptäcktsresa,Kommunikation,Självständighet,Respekt,Drivkraft,Produktivitet,Diplomati,Auktoritet,Heder,Etik,Lycka,Filantropi,Ödmjukhet
2019-01-01,1020,1765,2696,1765,4622,595,1765,425,1765,1765,435,4241,264,2054,1765,1303,90,626,2802,3062,883,1290,1564,1765,1765,1765,145,622,1765,1765,567,2367,881,1765,7088,646,1765,4561,1765,1467,45,831,1371,1201,866,6596,917,1875,1765
2019-02-01,838,1511,2029,1511,4219,614,1511,290,1511,1511,350,3141,252,1810,1511,1210,55,488,2194,2509,760,1151,1289,1511,1511,1511,150,604,1511,1511,533,2042,639,1511,5837,531,1511,4327,1511,1309,25,821,1161,1092,726,6046,841,1494,1511
2019-03-01,971,1643,2592,1643,4229,630,1643,290,1643,1643,436,3406,273,1892,1643,1282,71,723,2523,3212,893,1563,1344,1643,1643,1643,134,504,1643,1643,464,2047,722,1643,5970,532,1643,4376,1643,1374,24,839,1823,1104,830,6307,895,1599,1643
2019-04-01,871,1399,2325,1399,3676,752,1399,253,1399,1399,344,2795,230,1629,1399,1321,67,642,2149,2456,728,1272,1147,1399,1399,1399,208,593,1399,1399,386,1731,625,1399,5618,473,1399,3605,1399,1148,41,737,1368,911,655,5056,707,1039,1399
2019-05-01,799,1556,2517,1556,3968,653,1556,183,1556,1556,368,3372,305,1583,1556,1191,74,702,2512,2995,861,1267,1393,1556,1556,1556,117,501,1556,1556,396,2029,616,1556,5889,530,1556,4092,1556,1173,39,732,1956,987,711,6437,826,1147,1556
2019-06-01,535,954,1709,954,2483,377,954,208,954,954,275,2020,283,1167,954,832,69,472,1535,1781,581,1025,889,954,954,954,91,412,954,954,214,1182,583,954,3694,244,954,1944,954,915,19,344,1196,518,466,2703,654,1016,954
2019-07-01,675,955,1777,955,2526,329,955,292,955,955,292,1994,265,1579,955,1638,67,568,1714,1937,542,1081,1079,955,955,955,47,476,955,955,136,1074,577,955,2957,195,955,1541,955,864,20,248,1129,465,542,1805,715,1328,955
2019-08-01,1140,1324,2675,1324,3231,457,1324,339,1324,1324,407,2627,312,1565,1324,997,92,493,2200,2775,785,1273,1348,1324,1324,1324,84,547,1324,1324,213,1563,820,1324,5378,264,1324,3651,1324,1119,20,419,997,632,856,3469,819,1453,1324
2019-09-01,1183,1717,2004,1717,4347,522,1717,421,1717,1717,391,2926,302,1656,1717,1051,72,558,2595,2896,1010,1182,1638,1717,1717,1717,121,506,1717,1717,344,2668,835,1717,8009,531,1717,5687,1717,1434,26,703,1136,1510,1260,6302,853,1697,1717
2019-10-01,980,1700,2258,1700,4293,530,1700,268,1700,1700,486,3258,274,1777,1700,1062,64,642,2503,3230,916,1365,1721,1700,1700,1700,119,523,1700,1700,305,2348,1074,1700,7437,519,1700,5193,1700,1423,30,700,1293,1448,1399,5977,816,1571,1700
2019-11-01,949,1638,2083,1638,4088,536,1638,296,1638,1638,505,3702,318,1753,1638,1279,60,776,2464,3166,933,1416,1742,1638,1638,1638,134,518,1638,1638,318,2137,898,1638,6786,541,1638,4378,1638,1426,25,763,1503,1125,957,5436,949,1747,1638
2019-12-01,816,1387,1865,1387,3499,572,1387,279,1387,1387,565,3044,291,1913,1387,1439,54,795,2335,2679,802,1485,1456,1387,1387,1387,97,465,1387,1387,233,1642,733,1387,4743,333,1387,3368,1387,1282,44,582,1201,1034,896,4392,862,1378,1387
2020-01-01,934,1550,2178,1550,3632,562,1550,325,1550,1550,462,3898,294,1740,1550,1063,48,761,2378,2832,837,1266,1480,1550,1550,1550,142,454,1550,1550,263,2016,1021,1550,5807,384,1550,4349,1550,1406,23,729,1394,1077,1478,5167,943,1353,1550
2020-02-01,680,1318,1503,1318,3301,520,1318,284,1318,1318,359,3130,215,1428,1318,939,55,466,2089,2333,740,1212,1184,1318,1318,1318,201,438,1318,1318,220,1622,798,1318,5231,255,1318,3637,1318,1195,42,668,981,948,811,3786,815,2728,1318
2020-03-01,725,1437,1526,1437,3883,487,1437,266,1437,1437,485,3433,191,1542,1437,993,50,832,2396,2650,840,1467,1509,1437,1437,1437,187,411,1437,1437,261,1815,702,1437,6065,351,1437,4675,1437,984,12,801,988,963,671,4486,918,1291,1437
2020-04-01,690,1702,1697,1702,3563,577,1702,2133,1702,1702,511,2617,298,1413,1702,1120,66,1640,2256,5708,943,1669,1195,1702,1702,1702,154,440,1702,1702,249,1497,801,1702,10714,281,1702,4282,1702,870,31,537,1069,1087,635,4401,830,1894,1702
2020-05-01,939,2025,2361,2025,4126,590,2025,366,2025,2025,525,3262,251,1668,2025,1237,61,721,2801,8925,1080,1705,1484,2025,2025,2025,176,495,2025,2025,266,1870,895,2025,14644,301,2025,5384,2025,995,27,667,1247,1229,748,5139,1063,1603,2025
2020-06-01,621,1469,1578,1469,3127,369,1469,301,1469,1469,390,1915,221,1290,1469,873,57,541,1649,7517,948,1258,1181,1469,1469,1469,180,417,1469,1469,176,1147,702,1469,12157,183,1469,3183,1469,784,26,436,956,575,520,2581,854,1237,1469
2020-07-01,493,1244,1896,1244,2804,362,1244,282,1244,1244,412,2187,216,1205,1244,844,76,599,1801,5716,654,1364,847,1244,1244,1244,175,367,1244,1244,150,764,734,1244,8935,119,1244,2333,1244,677,34,287,850,525,568,1688,838,1481,1244
