Timestamp,Amicizia,Parentela,Empatia,Compagnia,Alleanza,Affiliazione,Simbiosi,Famiglia,Clan,Coniuge,Matrimonio,Tesoro,Umano,Altruismo,Comunità,Promessa_di_matrimonio,Rispetto,Filantropia,Amore,Chimica,Valore_mobiliare,Comunicazione,Gruppo_della_tavola_periodica,Società,Tribù,Circonferenza,Sistema,Organizzazione,Correlazione,Congruenza,Articolazione,Lealtà,Armonia,Unione,Solidarietà,Discendenza,Desiderio,Lussuria,Bacio,Cooperazione,Bontà,Reciproco,Fusibile,Obbligazione,Arrangiamento,Composizione,Assimilazione,Consenso,Conformismo
2019-01-01,10312,21527,21175,259,657,232,3061,8463,2141,383,12022,1328,537,2346,4841,4669,3669,10076,21409,9598,70,9445,4601,4841,4841,13481,2589,2819,912,209,11343,4841,3386,166,4841,778,504,8320,4770,1291,4841,1725,347,246,2070,641,490,578,3500
2019-02-01,9421,17520,19573,146,603,212,3001,8779,1829,260,10378,770,395,1933,4316,4514,3843,7958,21282,7833,94,8578,3977,4316,4316,12438,2183,2512,1094,158,9427,4316,3162,146,4316,613,338,6634,4050,1055,4316,1391,317,326,2272,622,500,514,2924
2019-03-01,9164,20220,22024,159,486,215,2980,14048,1775,403,11422,871,441,2001,4496,5386,3585,8427,17251,7513,62,9424,3876,4496,4496,14463,2114,2181,789,155,9069,4496,2947,109,4496,624,266,6045,3924,918,4496,1488,306,287,1694,598,434,480,2691
2019-04-01,8344,20978,19844,184,436,216,2744,9545,1539,530,10674,809,417,1649,4080,7237,2823,7470,15866,6940,74,8525,3057,4080,4080,12838,1839,2146,609,137,7153,4080,2475,81,4080,624,203,5785,3813,1267,4080,1215,354,269,1344,353,383,358,2275
2019-05-01,8596,21099,19449,188,552,188,2519,8368,1687,375,11843,863,430,1631,4356,7345,3196,8546,17243,7520,78,14743,3230,4356,4356,12001,2127,2211,697,131,9261,4356,2754,79,4356,577,161,5594,3757,1104,4356,1169,357,309,1551,465,384,327,2608
2019-06-01,6021,19361,16353,178,370,191,1798,5862,1316,335,10204,595,540,1686,5594,6177,2187,7385,14626,6638,61,100963,1314,5594,5594,7411,1621,2093,585,105,8177,5594,2252,80,5594,479,138,3593,3210,1114,5594,781,273,133,1323,412,236,276,2079
2019-07-01,6091,21816,15090,182,433,184,1793,5678,1384,380,10095,671,563,1656,7563,4720,2021,7587,13514,31990,70,162598,1395,7563,7563,6903,1500,1903,583,103,6469,7563,1980,93,7563,523,136,3672,5353,826,7563,863,275,138,1427,368,165,283,1722
2019-08-01,5673,25308,13857,203,516,235,1548,5215,1377,415,9765,706,576,1702,3430,3754,2428,7001,13488,7519,58,12022,1674,3430,3430,5902,1325,1808,407,87,5466,3430,1996,69,3430,691,192,4111,4288,870,3430,1239,234,136,1411,294,125,212,1583
2019-09-01,7632,23102,17267,150,529,205,1931,6083,1454,380,10868,653,528,1879,4214,3579,2396,7524,14480,18817,65,15289,2920,4214,4214,9146,3244,2535,468,118,6961,4214,2339,83,4214,583,227,5132,3588,1137,4214,1958,207,106,1835,305,215,265,3024
2019-10-01,8423,20542,18498,189,511,206,2581,8140,1807,356,11681,636,537,2086,4672,2906,2874,8798,16455,18180,83,11311,4635,4672,4672,11426,3703,3021,677,123,19176,4672,2799,95,4672,572,252,4399,3982,1127,4672,2079,255,117,1748,485,266,282,2886
